Model,HyperParameters,Scaler,Test Size,Outlier Handling,Fit Time(s),Validation RMSLE,Test RMSLE
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.8, 'alpha': 1.8000000000000003}",RobustScaler,0.1,Log,8.504320859909058,0.1680977051761651,0.16394992668825198
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",StandardScaler,0.2,Replace,45.2774600982666,0.15878011734743314,0.16432207944897373
AdaBoostRegressor,"{'n_estimators': 64, 'loss': 'linear', 'learning_rate': 0.001, 'base_estimator': LinearRegression()}",None,0.2,YeoJonson,59.742192029953,0.1964839879110813,0.16432947258297534
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.3,YeoJonson,5.490546464920044,0.1737281529059013,0.16447882361430974
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",RobustScaler,0.3,Log,33.09029746055603,0.16754029782855925,0.16474007679102184
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.9500000000000001, 'alpha': 1.3000000000000003}",RobustScaler,0.2,YeoJonson,7.252432823181152,0.1643098578554308,0.16479230145197624
LinearRegression,,MinMaxScaler,0.1,Replace,0.9490935802459716,0.14598026766437774,0.16482213833942086
LinearRegression,,StandardScaler,0.1,Replace,0.9334163665771484,0.1459802676643766,0.1648221383394213
LinearRegression,,RobustScaler,0.1,Replace,0.933422327041626,0.14598026766437452,0.16482213833942733
LinearRegression,,None,0.1,Replace,0.964669942855835,0.14598026766439465,0.16482213833957693
ElasticNet,"{'warm_start': False, 'selection': 'random', 'l1_ratio': 0.8, 'alpha': 0.6}",RobustScaler,0.2,Log,7.565995693206787,0.16287772352926347,0.16484725551885512
LinearRegression,,RobustScaler,0.1,Log,1.0745251178741455,0.1601292540258319,0.1651090651163229
LinearRegression,,StandardScaler,0.1,Log,0.98030686378479,0.16012925402583295,0.16510906511632295
LinearRegression,,MinMaxScaler,0.1,Log,1.0024147033691406,0.16012925402583136,0.1651090651163308
LinearRegression,,None,0.1,Log,1.0337367057800293,0.16012925402582148,0.16510906511633233
ElasticNet,"{'warm_start': False, 'selection': 'cyclic', 'l1_ratio': 0.6000000000000001, 'alpha': 1.2000000000000002}",RobustScaler,0.3,YeoJonson,5.974179267883301,0.16565643677224656,0.16536135279313174
ElasticNet,"{'warm_start': True, 'selection': 'cyclic', 'l1_ratio': 0.9500000000000001, 'alpha': 0.30000000000000004}",MinMaxScaler,0.3,Log,5.548934698104858,0.1729463577103729,0.16547485590121105
AdaBoostRegressor,"{'n_estimators': 32, 'loss': 'exponential', 'learning_rate': 0.01, 'base_estimator': ElasticNet()}",RobustScaler,0.3,YeoJonson,33.46641254425049,0.1678739610447948,0.16549778101647075
